Rank,Title,Link,Points,Author,Age,Comments,Sentiment_TextBlob,Sentiment_VADER
1,SimpleFold: Folding proteins is simpler than you think,https://github.com/apple/ml-simplefold,338.0,kevlened,12 hours ago,110 comments,Neutral,Neutral
2,Open Social,https://overreacted.io/open-social/,561.0,knowtheory,14 hours ago,246 comments,Neutral,Neutral
3,New math revives geometry's oldest problems,https://www.quantamagazine.org/new-math-revives-geometrys-oldest-problems-20250926/,93.0,pykello,7 hours ago,8 comments,Positive,Neutral
4,Why Today's Humanoids Won't Learn Dexterity,https://rodneybrooks.com/why-todays-humanoids-wont-learn-dexterity/,25.0,chmaynard,3 hours ago,14 comments,Neutral,Neutral
5,Moondream 3 Preview: Frontier-level reasoning at a blazing speed,https://moondream.ai/blog/moondream-3-preview,127.0,kristianp,8 hours ago,16 comments,Neutral,Neutral
6,The Beauty of Programming (2001),https://www.brynmawr.edu/inside/academic-information/departments-programs/computer-science/beauty-programming,151.0,andsoitis,9 hours ago,25 comments,Neutral,Positive
7,The Obsessively Complete Infocom Catalog,https://eblong.com/infocom/,69.0,exvi,6 hours ago,12 comments,Positive,Negative
8,Thoughts on Mechanical Keyboards and the ZSA Moonlander,https://www.masteringemacs.org/article/thoughts-on-mechanical-keyboards-zsa-moonlander,87.0,TheFreim,7 hours ago,112 comments,Neutral,Neutral
9,If you are harassed by lasers,https://www.laserpointersafety.com/harassment.html,147.0,1970-01-01,11 hours ago,140 comments,Neutral,Negative
10,CT scans of 1k lithium-ion batteries show quality risks in inexpensive cells,https://www.lumafield.com/article/finding-hidden-risks-in-the-battery-supply-chain,165.0,jonbruner,14 hours ago,54 comments,Neutral,Negative
11,GPT-OSS Reinforcement Learning,https://docs.unsloth.ai/new/gpt-oss-reinforcement-learning,26.0,vinhnx,4 hours ago,5 comments,Neutral,Neutral
12,US cities pay too much for buses,https://www.bloomberg.com/news/articles/2025-09-26/us-cities-are-paying-too-much-for-new-transit-buses,238.0,pavel_lishin,16 hours ago,421 comments,Positive,Negative
13,Auth.js is now part of Better Auth,https://www.better-auth.com/blog/authjs-joins-better-auth,106.0,ShaggyHotDog,11 hours ago,32 comments,Positive,Positive
14,"Suno Studio, a Generative AI DAW",https://suno.com/studio-welcome,126.0,debrisapron,12 hours ago,137 comments,Neutral,Neutral
15,How insurance risk is transformed into investable assets,https://riskvest.io/riskvest-insights/transforming-insurance-risk,78.0,rrjjww,9 hours ago,20 comments,Neutral,Negative
16,Traefik's 10-year anniversary,https://traefik.io/blog/celebrating-10-years-of-traefik,197.0,beckford,17 hours ago,111 comments,Neutral,Neutral
17,Modular Manifolds,https://thinkingmachines.ai/blog/modular-manifolds/,137.0,babelfish,13 hours ago,50 comments,Neutral,Neutral
18,Oral Microbes Linked to 3-Fold Increased Risk of Pancreatic Cancer,https://nyulangone.org/news/oral-microbes-linked-increased-risk-pancreatic-cancer,88.0,bmau5,11 hours ago,31 comments,Neutral,Negative
19,Why use mailing lists?,https://mailarchive.ietf.org/arch/msg/ietf/q6A_anL1u-Y9iXe-vboiOYamsl0/,172.0,cnst,10 hours ago,98 comments,Neutral,Neutral
20,Clean Hydrogen at a Crossroads: Why Methane Pyrolysis Deserves Attention,https://www.c2es.org/2025/09/clean-hydrogen-at-a-crossroads-why-methane-pyrolysis-deserves-attention/,27.0,georgecmu,7 hours ago,36 comments,Positive,Positive
21,RNA structure prediction is hard. How much does that matter?,https://www.owlposting.com/p/rna-structure-prediction-is-hard,45.0,abhishaike,9 hours ago,7 comments,Neutral,Negative
22,Why do we remember some life moments but not others?,https://www.bu.edu/articles/2025/why-do-we-remember-some-moments-but-not-others/,82.0,hhs,7 hours ago,40 comments,Neutral,Neutral
23,Where to find PCB dataset for autorouting?,item?id=45353604,4.0,technivis,3 hours ago,3 comments,Neutral,Neutral
24,Evanston orders Flock to remove reinstalled cameras,https://evanstonroundtable.com/2025/09/24/flock-safety-reinstalls-evanston-cameras/,388.0,ptk,1 day ago,232 comments,Neutral,Neutral
25,Investigating a Forged PDF,https://mjg59.dreamwidth.org/73317.html,36.0,jonah-archive,6 hours ago,4 comments,Neutral,Neutral
26,Show HN: Family Chess: Play across firewalls and Internet cultures,https://github.com/kelvinq/family-chess,30.0,kelvinquee,6 hours ago,4 comments,Neutral,Positive
27,Exploit allows for takeover of fleets of Unitree robots,https://spectrum.ieee.org/unitree-robot-exploit,140.0,vmayoral,1 day ago,80 comments,Neutral,Negative
28,Pairing with Claude Code to rebuild my startup's website,https://blog.nseldeib.com/p/pairing-with-claude-code-to-rebuild,137.0,nadis,19 hours ago,100 comments,Neutral,Neutral
29,Evolving the Multi-User Spaceport,https://www.spacex.com/updates#multiuser-spaceport,125.0,thsName,14 hours ago,52 comments,Neutral,Neutral
30,Britain to introduce compulsory digital ID for workers,https://www.reuters.com/world/uk/britain-introduce-mandatory-digital-id-cards-2025-09-26/,400.0,alex77456,1 day ago,655 comments,Neutral,Neutral
31,Gauntlet AI (YC S17) is looking for engineers who want to master AI,https://apply.gauntletai.com/,,,13 hours ago,hide,Neutral,Positive
32,Ultra efficient vector extension for SQLite,https://marcobambini.substack.com/p/the-state-of-vector-search-in-sqlite,119.0,marcobambini,16 hours ago,45 comments,Neutral,Positive
33,Translating a Fortran F-16 Simulator to Unity3D,https://vazgriz.com/762/f-16-flight-sim-in-unity-3d/,245.0,hggh,23 hours ago,117 comments,Neutral,Neutral
34,"Elephantshark, a tool to monitor Postgres network traffic",https://neon.com/blog/elephantshark-monitor-postgres-network-traffic,20.0,gmac,3 hours ago,discuss,Neutral,Neutral
35,Fast UDP I/O for Firefox in Rust,https://max-inden.de/post/fast-udp-io-in-firefox/,333.0,Bender,15 hours ago,65 comments,Positive,Neutral
36,DeepFabric – Generate high-quality synthetic datasets at scale,https://lukehinds.github.io/deepfabric/,91.0,decodebytes,15 hours ago,17 comments,Neutral,Neutral
37,"Understanding RL for model training, and future directions with GRAPE",https://arxiv.org/abs/2509.04501,26.0,sonabinu,8 hours ago,discuss,Neutral,Neutral
38,When Bruce Lee trained with Kareem Abdul-Jabbar,https://lithub.com/when-bruce-lee-trained-with-kareem-abdul-jabbar/,124.0,bookofjoe,11 hours ago,69 comments,Neutral,Neutral
39,MCAP Support Lands in Rerun,https://rerun.io/blog/introducing-experimental-support-for-mcap-file-format,7.0,Tycho87,4 hours ago,discuss,Neutral,Positive
40,"Titanic's sister, Britannic, sank in 1916. Divers have recovered artifacts",https://www.smithsonianmag.com/smart-news/the-titanics-sister-ship-the-britannic-sank-in-1916-for-the-first-time-ever-divers-have-recovered-artifacts-from-its-wreck-180987402/,61.0,pseudolus,16 hours ago,19 comments,Neutral,Neutral
41,Amiga SPICE is a program for simulating electronic circuits,https://www.edsa.uk/blog/amiga-spice,24.0,doener,7 hours ago,6 comments,Neutral,Neutral
42,"How to stop AI's ""lethal trifecta""",https://www.economist.com/leaders/2025/09/25/how-to-stop-ais-lethal-trifecta,96.0,1vuio0pswjnm7,15 hours ago,105 comments,Neutral,Negative
43,Pop OS 24.04 LTS Beta,https://system76.com/pop/pop-beta/,391.0,agluszak,20 hours ago,205 comments,Neutral,Positive
44,Genode OS Framework,https://genode.org,121.0,justinclift,20 hours ago,38 comments,Neutral,Neutral
45,Asahi Progress Report for Linux 6.16,https://asahilinux.org/2025/08/progress-report-6-16/,12.0,transpute,3 hours ago,1 comment,Neutral,Positive
46,How to make sense of any mess,https://www.howtomakesenseofanymess.com,419.0,surprisetalk,20 hours ago,122 comments,Negative,Negative
47,A platform-jumping prince – History of Prince of Persia's 1990s Ports,https://www.jordanmechner.com/en/latest-news/#a-platform-jumping-prince,169.0,michelangelo,1 day ago,38 comments,Neutral,Neutral
48,The von Neumann bottleneck is impeding AI computing?,https://research.ibm.com/blog/why-von-neumann-architecture-is-impeding-the-power-of-ai-computing,48.0,Nezteb,9 hours ago,25 comments,Neutral,Neutral
49,Gurted – A web ecosystem introducing the gurt:// protocol,https://gurted.com/,22.0,redbell,8 hours ago,15 comments,Neutral,Neutral
50,Show HN: Dreamtap – Make your AI more creative,https://dreamtap.xyz/,51.0,neural_thing,15 hours ago,12 comments,Positive,Positive
51,Kagi News (iOS),https://apps.apple.com/de/app/kagi-news/id6748314243,45.0,vladyslavfox,9 hours ago,12 comments,Neutral,Neutral
52,Bach Cello Suites (2024),https://bachcellosuites.co.uk/,209.0,bondarchuk,1 day ago,73 comments,Neutral,Neutral
53,Context is the bottleneck for coding agents now,https://runnercode.com/blog/context-is-the-bottleneck-for-coding-agents-now,177.0,zmccormick7,15 hours ago,170 comments,Neutral,Neutral
54,Redis is fast – I'll cache in Postgres,https://dizzy.zone/2025/09/24/Redis-is-fast-Ill-cache-in-Postgres/,320.0,redbell,1 day ago,280 comments,Positive,Neutral
55,Informed poll,https://pigweed.dev/pw_async2/informed_poll.html,30.0,kaycebasques,13 hours ago,2 comments,Neutral,Neutral
56,Visualizing Automorphisms of S6,https://travisdoesmath.github.io/s6/,12.0,downboots,8 hours ago,discuss,Neutral,Neutral
57,The Little Book of Linear Algebra,https://little-book-of.github.io/linear-algebra/,12.0,ibobev,9 hours ago,discuss,Negative,Neutral
58,LuaJIT Language Toolkit,https://github.com/franko/luajit-lang-toolkit,16.0,klaussilveira,12 hours ago,discuss,Neutral,Neutral
